1,1,1,1
coth(인파),우산팔이(기상),백스텝(워로드),소서나할걸(바드)
대마법사(서머너),zl존법사(소서),Luzenis(기상),인형탈(홀닥불)
전사는낭만(워로드),삼도류(버스트),창술이당(-창-),Luzena(바드)
대원소술사(소서),늅뎸(배마),호크는아이(),Luzernia(도화가)
Luzerina(건슬),곽두팔(워로드),변태(스카우터),밀로레스(바드)
기상청(기상),오의지망생(난무),척살(기공사),밀로렌스(도화가)
인간이된블래(블래),진지한충동(데모닉),민수(기상),장학금받고(바드)
코랸(리퍼),대물방패(워로드),Luzerin(-창-),맛있계(도화가)
